Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
ᴹʷ ZhimerA,,99757460,27.146.243,15.614.027,1.764.597,148.583,362.114,76.943,898.683,278.274,371.747,205.015.541,16.406
亗Arynas亗,,100714913,27.134.051,121.791.421,14.593.246,4.610.165,206.058,492.553,6.720.234,2.564.236,1.955.780,142.200.000,17.235
SulIensBish,,48563453,27.098.308,5.430.458,531.706,80.921,108.608,44.792,92.981,204.404,1.701.276,2.624.611.988,6.418
SånGød II,,100095438,27.096.951,32.041.389,3.741.619,691.553,495.811,179.494,1.730.174,644.587,1.036.590,8.744.000,24.640
Mili495,,94951669,27.093.476,24.207.607,2.438.114,53.753,191.898,421.810,1.328.724,441.929,903.812,299.265.981,12.154
ᴹʷ Dell,,70552063,27.082.837,24.263.896,2.985.021,143.180,603.513,175.036,1.893.775,169.517,2.321.495,137.021.776,7.683
Bountiful city,,47325159,27.045.138,12.494.545,1.952.088,125.293,467.178,524.720,726.169,108.728,4.342.670,2.174.645.659,5.898
ᴹʷDonDiablo,,100436281,26.998.247,66.431.538,12.698.983,6.643.988,595.131,260.787,4.111.221,1.087.856,1.063.914,324.624.731,16.899
Kalden03,,97176027,26.968.848,4.962.502,1.153.982,148.888,325.401,419.168,260.525,0,174.064,186.076.059,8.079
ᴼʂ Haru X,,100622384,26.943.861,54.720.949,8.881.815,1.210.316,1.321.680,2.465.294,3.571.615,312.910,731.842,1.573.450.365,26.163
Navoo14,,50716693,26.929.577,13.952.362,1.980.509,103.839,343.675,482.581,969.436,80.978,4.168.643,1.887.076.366,6.299
kotik 7,,99946675,26.881.072,25.367.604,13.363.025,6.744.840,3.897.609,1.847.532,862.759,10.285,2.609.089,2.050.690,6.199
ᴹғ T4,,65729997,26.843.244,48.260.014,7.378.157,1.142.788,1.014.177,1.451.618,3.519.485,250.089,2.026.466,3.115.820.390,18.402
ᴹᴜ Escanor,,100576086,26.809.094,3.239.304,1.093.414,59.381,641.498,330.153,62.382,0,342.304,2.201.998,7.755
ᴹʷGiyu,,100301129,26.794.476,24.189.981,3.495.410,751.696,237.920,678.748,1.569.211,257.835,409.651,27.405.192,21.336
Baddie Belle,,53258884,26.765.843,2.566.026,616.490,61.360,294.625,134.681,109.070,16.754,539.795,1.156.606.673,5.004
ᴼʂ AngelMC98,,100358521,26.761.164,13.760.690,1.154.590,47.208,88.496,70.129,568.140,380.617,2.243.104,731.679,8.785
Sehaj Jr,,15265394,26.756.622,9.100.930,880.339,11.459,12.317,205.031,477.676,173.856,2.126.523,3.124.007.376,3.008
Tunaa 6,,95200770,26.711.892,35.563.551,4.213.927,266.206,356.619,281.988,3.251.316,57.798,391.205,1.704.868.231,26.935
GlizzySZN,,71657675,26.694.502,34.756.277,4.707.966,500.963,892.127,557.305,2.450.881,306.690,1.602.048,61.416.730,14.429
ᴹᴜ Xandaros,,100685794,26.669.443,708.594,104.218,4.208,8.440,40.458,49.320,1.792,24.071,0,4.214
idewow,,59998949,26.615.830,3.196.071,899.545,426.867,152.097,66.551,254.030,0,553.850,2.567.555.169,4.195
亗KEIN 96亗,,100412397,26.608.668,43.423.819,8.039.422,1.667.167,1.897.383,1.397.760,2.783.766,293.346,696.897,3.518.459.114,28.468
мคуояค㋛,,100473533,26.527.711,45.046.244,10.711.397,5.422.621,1.030.479,345.223,3.774.161,138.913,104.354,8.704.500,15.271
ᴸᴹ Altarf,,100308443,26.467.234,34.265.890,4.203.175,408.431,732.203,584.017,1.918.675,559.849,953.535,288.759.293,18.452
ᴹғNastyy F2P,,100445742,26.411.616,24.405.020,5.673.139,2.589.788,636.997,440.722,1.926.246,79.386,223.591,683.945.711,20.922
Trauamam,,39688726,26.393.077,24.852.558,2.016.124,50.270,109.020,64.131,1.148.612,644.091,4.977.306,1.023.859.666,9.403
Mu IIe4eNbKa,,100403119,26.367.571,15.379.781,2.664.296,710.204,518.917,397.799,813.881,223.495,314.894,800.000,5.102
ABOJRA7,,100468364,26.318.169,62.607.075,6.766.341,269.754,591.273,1.013.077,4.052.647,839.590,1.129.532,143.762.403,16.421
AanaoupssS,,96932023,26.314.947,63.911.711,7.212.976,509.506,908.509,612.533,4.410.590,771.838,1.328.783,434.269.087,19.502
ᴹᴜ lacolomb,,100476800,26.285.306,2.022.002,447.732,52.928,191.986,89.621,99.498,13.699,46.917,2.629.531,10.030
Con STANTINOPLE,,100490322,26.243.565,10.306.777,1.079.630,122.907,107.811,64.236,588.389,196.287,80.829,174.905.377,8.334
Techin96,,100482283,26.243.054,4.779.855,1.298.692,335.916,440.023,301.204,180.317,41.232,76.122,51.605.038,15.232
rscls fram 99,,59527408,26.189.749,41.290.201,7.658.847,1.538.714,2.003.314,1.141.210,2.710.119,265.490,1.735.682,2.159.311.990,24.268
ᴮᵃᵈGATO,,76847667,26.178.708,26.567.944,2.754.587,238.432,412.776,204.504,1.310.081,588.794,847.090,541.716.240,33.619
bkanmn,,56197085,26.069.120,19.729.428,3.245.833,820.949,394.472,300.816,1.701.889,27.707,1.356.434,2.826.915.959,10.469
JusMatt,,100523888,26.065.060,33.655.085,5.922.594,903.157,1.469.974,927.284,2.561.821,60.358,811.076,1.674.092.613,17.737
ᴹғ T3,,92991276,26.052.412,37.738.229,5.934.517,2.189.375,425.519,258.299,2.581.036,480.288,1.244.106,189.734.715,27.033
황신원 of Rose 영,,52434525,25.997.152,42.697.908,6.119.674,525.600,1.149.699,1.258.160,2.846.355,339.860,3.569.772,3.751.848.675,10.685
Chaos Butts,,97779470,25.984.253,14.295.781,1.778.498,140.067,268.341,87.809,1.226.577,55.704,344.886,3.082.128.560,8.277
Miny Indy,,29109440,25.975.521,312.106,16.904,0,1.443,0,0,15.461,6.851,3.404.197.654,1.607
aeiouSugar,,100528192,25.954.922,53.187.243,6.418.397,341.986,806.362,859.533,4.014.233,396.283,881.364,1.015.741.174,29.415
Jokerlicious,,101928618,25.939.447,3.663.982,1.031.499,294.479,444.756,34.511,257.753,0,161.498,2.753.753.971,11.246
ᴹʷWilliam,,91362333,25.916.156,58.043.625,7.565.216,2.098.377,238.376,609.732,3.766.635,852.096,2.950.607,43.434.827,12.655
ᴮᴼRichStrd,,100501119,25.908.121,53.322.487,8.436.775,2.769.414,954.508,954.387,2.812.728,945.738,2.063.797,196.178.850,28.352
Bun Nhạt VL,,91961477,25.899.896,32.062.119,4.186.167,619.917,298.578,313.540,2.899.582,54.550,1.111.695,16.492.398.059,15.442
Disturbed 2,,8174062,25.821.021,23.615.606,1.788.893,93.059,18.470,1.601,996.161,679.602,4.485.152,10.924.367.394,5.089
ᴹᴜ Kaoru,,100354383,25.801.200,11.055.697,1.236.709,86.254,165.745,89.294,755.854,139.562,655.646,3.956.560,17.962
Legolas 113,,100416880,25.794.749,640.081,89.598,8.294,11.871,17.845,48.846,2.742,42.827,5.598.886,7.900
ᴼʂ Jin,,97901996,25.776.634,13.270.758,5.355.952,4.210.751,41.896,18.519,942.498,142.288,389.501,4.501.313.269,5.630
ᴹᴜ RrrRrrR,,100471796,25.708.103,7.523.412,862.820,20.849,215.008,11.344,526.853,88.766,789.128,3.927.155,8.882
Lutinne20481,,77212768,25.663.803,25.853.991,3.489.257,258.837,453.604,907.754,1.611.724,257.338,1.055.014,1.444.509.563,43.073
Beerus Koteka 2,,30850021,25.611.221,51.897.212,3.767.970,44.662,19.208,59.356,2.128.244,1.516.500,3.301.351,9.750.379.975,12.682
Centinela one,,100368337,25.604.674,62.868.871,9.155.735,2.884.315,712.696,373.169,4.433.716,751.839,659.883,1.299.369.721,39.305
JazzyJorge,,100139661,25.594.288,1.242.974,148.195,37.740,7.427,11.993,64.810,26.225,816.201,55.131.352,7.202
MOONC4KE,,22534456,25.591.104,10.050.659,1.745.004,292.983,117.490,851.363,331.173,151.995,1.167.940,8.687.661.462,4.322
ᴹғ T2,,88132522,25.591.090,17.022.710,5.370.709,854.859,2.116.578,2.056.538,246.225,96.509,1.340.389,137.819.179,18.280
ᴹʷ LOSC,,96143299,25.572.455,72.268.386,6.118.010,188.278,369.317,101.564,3.809.118,1.649.733,1.837.224,132.746.403,16.114
Sin of Príde,,100521492,25.567.267,34.055.605,4.670.195,570.073,402.943,711.511,2.942.370,43.298,634.127,12.519.999,3.959
QueenHergon,,23400458,25.472.254,2.903.691,240.528,58.206,2.900,290,69.755,109.377,75.194,7.850.415.891,3.712
Sehaj jr,,10114897,25.452.601,8.450.160,885.228,12.062,14.339,242.390,487.923,128.514,1.216.804,4.421.268.127,4.090
Aziomi,,96182330,25.357.718,79.827.735,13.377.324,864.603,1.065.730,6.285.431,5.084.957,76.603,900.217,7.591.579.160,35.021
1DeanWinchester,,83427522,25.308.344,25.083.066,3.600.554,299.022,759.597,863.122,1.352.468,326.345,2.090.851,49.520.831,6.219
Archer Beecy,,82868663,25.269.061,30.203.938,3.316.961,382.352,504.743,213.238,1.606.753,609.875,1.091.635,1.975.291.834,25.790
亗 Myst 亗,,100138050,25.255.058,25.300.612,2.523.471,254.542,202.029,141.114,1.423.453,502.333,615.812,33.516.913,34.484
DjFranko32,,100299948,25.157.801,2.176.138,218.674,55.472,16.099,3.184,75.827,68.092,586.684,0,7.719
亗inthebin亗,,99821065,25.155.962,68.689.785,6.236.631,220.283,201.695,525.207,3.964.741,1.324.705,897.766,188.576.472,11.101
datbuoito2004,,89768464,25.145.547,103.292.717,13.509.425,1.054.325,1.718.197,2.111.512,8.130.841,494.550,1.362.384,9.492.766.093,21.797
ᴮᴼ T Rabbit,,100504461,25.135.173,8.770.968,1.617.106,317.440,244.395,498.715,490.729,65.827,1.332.657,21.408.300,16.867
ᴼʂ Z L Q,,90414870,25.127.959,6.663.412,1.488.526,367.020,492.921,190.124,392.555,45.906,634.090,19.487.845,3.645
OL マ Faceless,,86746506,25.106.791,28.621.974,10.249.497,8.195.490,1.009,7.227,1.396.347,649.424,1.068.184,8.086.661.075,18.021
Samskins ᴼʂ,,100511615,25.047.848,792.868,160.246,21.580,60.536,18.970,59.160,0,5.495,57.088.745,10.702
Rung roj,,100376353,25.029.407,14.747.766,1.681.241,86.272,109.522,179.092,1.233.200,73.155,330.110,29.533.593,27.750
rongrong32,,100398351,25.005.667,5.434.931,477.170,4.696,7.598,16.899,360.834,87.143,343.828,11.900.651,12.094
Parad็ox,,102901899,24.979.174,33.083.860,6.391.144,3.274.022,265.810,305.684,2.023.786,521.842,518.170,874.695.621,10.247
ᴼʂ x6tance,,100477242,24.970.557,139.969.612,17.768.784,4.856.812,479.157,1.123.789,9.263.574,2.045.452,1.569.729,1.054.099.370,23.900
хаос1,,100498546,24.937.610,1.845.739,1.075.300,356.837,656.342,26.587,35.534,0,234.145,0,498
Ahmad Syahrul,,100481653,24.822.496,1.489.789,299.590,4.753,68.989,151.270,74.578,0,48.967,0,4.420
ᴹʷOdin彡,,100546084,24.801.563,42.798.330,4.392.836,498.069,479.850,426.699,1.973.214,1.015.004,1.761.232,354.292.954,23.918
ʏᴜʜʀɪF,,89774970,24.784.494,12.578.299,1.797.582,241.226,313.602,309.960,799.287,133.507,647.316,3.341.451.287,4.547
Stew Uno,,57726029,24.752.168,1.206,4.319,4.129,190,0,0,0,0,7.695.513.958,4.861
рumba,,96960041,24.714.921,20.966.584,4.309.807,1.007.661,1.038.057,789.917,1.395.417,78.755,286.337,45.873.340,13.335
9亗HEI HEI亗6,,78432171,24.704.086,50.621.918,5.705.856,305.418,196.202,946.790,3.876.765,380.681,954.454,232.556.132,17.350
Mini Fay,,22692986,24.646.749,34.060.689,2.306.305,16.167,29.921,13.436,1.099.175,1.147.606,3.500.581,7.156.426.038,5.226
ᴹᴜ fibril,,100361273,24.640.831,22.492.243,2.764.966,224.556,631.482,153.872,1.453.224,301.832,1.451.183,21.316.352,24.271
Eric Swish,,100327007,24.584.464,180.349,62.658,13.197,34.901,6.282,8.278,0,64.429,2.097.060,5.946
victovysk,,100521297,24.507.133,303.720,37.025,4.441,2.540,448,29.596,0,77.635,0,2.986
jrmtz01,,100398811,24.444.532,11.183.262,1.435.383,214.532,251.944,105.992,704.580,158.335,915.706,26.659.704,12.509
ᴼʂ thvlaaayy,,100071095,24.401.403,7.579.833,719.608,3.917,3.144,11.773,648.981,51.793,510.947,289.901.768,10.346
CommanderBronco,,90031739,24.396.929,7.652.436,923.562,144.562,94.145,28.726,580.225,75.904,1.240.666,1.330.323.415,9.324
Natasha35,,95129777,24.363.465,7.958.551,2.810.144,821.434,936.282,822.965,195.942,33.521,494.139,467.889.432,9.409
ˢhadøwField,,99705694,24.356.364,27.551.449,7.426.934,1.126.746,3.947.548,942.261,1.254.562,155.817,329.610,23.600.000,13.426
Myser,,55955975,24.338.579,1.613.334,257.346,12.472,103.880,21.110,107.904,11.980,268.136,3.458.020,7.041
Babamafia,,13730439,24.320.887,1.509.460,150.946,0,0,0,150.946,0,504.648,115.500,9.841
WasFun2396,,99820354,24.318.384,8.686.129,2.347.375,975.574,404.208,339.787,623.267,4.539,627.875,1.583.574.315,12.078
Fenix2o,,100838177,24.281.466,56.976,29.702,13.271,12.400,1.798,2.233,0,11.389,300.561.789,2.668
ᴹᴜ ZVER,,100550229,24.261.279,13.297.889,2.244.032,434.785,505.993,425.054,706.527,171.673,1.098.285,13.272.326,16.766
AntoniBoxTv,,48779205,24.228.446,110.951.909,17.445.004,3.275.454,3.125.008,2.965.818,6.939.095,1.139.629,4.401.586,67.568.677,13.596
PadloEzzcodar,,101076610,24.202.615,298.506,76.898,17.480,24.834,20.388,12.013,2.183,70.959,28.604.635,9.637
ᴹғ Oshie,,100060430,24.198.328,94.230.945,15.420.084,4.041.606,1.557.104,2.070.459,7.299.172,451.743,1.126.293,11.423.525.333,21.952
Óscar123456,,100563162,24.184.440,1.430.889,1.187.654,747.954,379.391,13.429,46.880,0,139.874,0,3.245
Ambrosia10,,39911811,24.079.618,1.427.274,381.960,162.921,55.988,57.966,105.085,0,284.550,516.759.049,1.866
Sofakingugly,,18362657,24.074.424,858.660,74.566,100,0,0,63.068,11.398,19.014,393.878.303,1.721
J Schmetterling,,101048282,24.049.940,1.160.796,239.649,46.512,77.050,27.246,88.841,0,4.381,211.035.913,1.790
Small stick,,41719175,24.026.784,6.073.127,509.085,105,855,2.704,404.784,100.637,2.613.174,869.982.641,1.766
Baby Thumb,,12633428,24.017.789,4.988.266,391.990,88.581,0,0,109.763,193.646,3.268.507,6.018.688.682,3.631
shanna anne,,93091028,24.013.358,33.794.268,9.517.099,2.764.102,3.188.016,1.642.379,1.815.614,106.988,2.277.055,94.593.783,20.730
Gods乂eye,,99880123,24.004.702,72.917.482,9.603.943,2.265.331,252.845,1.053.039,5.290.799,741.929,930.203,43.444.842,12.823
ᴼʂ Bushido,,99761865,23.992.728,4.259.824,699.901,167.801,218.617,39.765,184.439,89.279,80.669,56.759.742,16.047
ᴮᴼlondonbt,,100549090,23.983.536,2.730.179,283.134,22.773,31.387,2.270,188.031,38.673,88.696,3.196.853,7.213
ᴮᴼRAMAL,,100366475,23.962.091,8.764.856,2.734.322,571.749,1.274.861,476.611,402.768,8.333,276.415,73.070.142,6.795
JrNicky,,94708683,23.932.595,1.695.067,184.264,10.115,3.498,26.377,130.494,13.780,273.952,903.872.025,3.954
ᴹᴜDarius,,88895115,23.916.319,13.083.320,1.652.741,94.710,149.315,253.672,1.134.982,20.062,661.405,79.760.994,7.205
ᴼʂSairento,,55982658,23.890.491,26.163.636,2.565.343,72.591,313.722,151.306,1.563.803,463.921,1.852.407,427.661.093,5.897
WYZER,,100463646,23.866.790,8.404.338,1.157.887,104.259,285.962,140.413,529.515,97.738,439.539,36.400.000,8.485
Wolfes Hunter 3,,95070924,23.860.781,32.035.106,5.617.595,648.212,1.115.661,1.773.683,1.902.137,177.902,1.432.098,122.900.694,24.093
dead mikey,,100273187,23.853.739,107.569.509,18.994.576,6.596.444,976.705,2.519.480,8.382.005,519.942,2.193.975,102.950.252,29.878
ᴹᴜĂswang,,99952878,23.825.256,6.646.155,1.149.431,115.947,370.038,128.530,532.955,1.961,536.751,1.800.000,30.365
Антон96,,100567997,23.818.980,2.509.155,973.334,405.995,295.301,166.421,94.067,11.550,390.374,25.715,2.997
Liaks,,100483814,23.797.073,1.829.617,614.974,305.554,116.596,66.861,125.139,824,70.834,1.485.618,8.115
Conte Nero V,,75770198,23.789.406,9.155.435,2.662.852,579.305,956.457,738.585,359.778,28.727,34.391,4.731.685.809,9.321
Brexit Bruiser,,100392778,23.788.711,2.201.734,513.662,241.872,94.970,12.585,137.162,27.073,678.031,0,4.881
TheHîstorian,,68695716,23.778.528,8.011.468,1.248.596,186.369,283.903,125.337,615.470,37.517,547.029,282.462.911,8.107
ShapeshifterIII,,99812994,23.764.673,4.930.592,508.881,45.448,23.773,20.484,359.150,60.026,108.319,13.177.779,3.748
ᴹʷPatrìciä,,96877256,23.763.735,167.261.428,19.081.702,2.858.988,609.254,239.433,14.296.715,1.077.312,2.158.783,876.007.256,13.929
亗Đimitri亗,,99677212,23.714.612,46.844.486,7.484.713,3.109.448,503.268,318.690,2.712.484,840.823,966.933,942.278.148,21.085
KopiBunBun,,101432206,23.671.234,3.267.907,293.874,23.536,16.761,14.357,161.215,78.005,1.003.157,5.610.077,9.556
ᴮᴼ Frikki,,100479610,23.631.951,2.138.427,334.562,91.045,40.595,28.167,156.874,17.881,155.578,4.450.419,4.425
ᴷᴳ Mrs Ayaz,,93592698,23.625.956,39.692.376,8.707.909,1.828.782,2.687.246,1.752.362,2.184.770,254.749,1.645.035,140.455.007,14.539
Lan Martek,,89862455,23.568.224,32.996.159,3.089.695,93.795,200.452,240.704,1.948.120,606.624,2.329.811,37.613.064,11.841
Seb nc 29,,100302016,23.462.023,1.480.887,347.036,49.957,134.716,101.721,41.826,18.816,75.821,28.957.139,3.958
Big Alb,,43383108,23.452.787,840.320,103.767,18.431,783,2.407,81.748,398,213.776,3.947.640.340,3.419
JPv2,,31586833,23.409.203,2.324.942,156.328,0,0,1.213,78.221,76.894,656.485,9.255.985.966,6.211
Axel Many,,100526942,23.386.669,1.055.270,803.342,399.222,343.621,52.801,7.698,0,118.622,55.994.689,4.268
MsTehachapi,,100818098,23.342.278,3.647.868,1.446.989,652.979,447.483,206.984,99.649,39.894,135.684,542.290.446,13.798
MazDeath,,85714895,23.265.718,5.031.638,888.496,402.631,148.572,50.027,129.146,158.120,1.392.375,42.000.000,7.849
CCHARD2,,4549152,23.259.351,1.760.785,163.908,15.426,0,3.980,114.826,29.676,1.538.151,10.500.031.144,10.127
ᴹʷ Alaskan,,99690670,23.251.370,120.766.972,36.751.043,8.614.752,14.019.788,8.471.929,5.577.475,67.099,2.671.546,15.006.752.870,19.818
Level 1 Indy,,54236436,23.250.748,658.464,36.901,0,1.802,0,4.712,30.387,3.058,3.182.541.784,1.595
MHS 0080,,97673528,23.212.768,11.938.285,1.619.434,155.805,254.351,153.408,1.033.261,22.609,659.287,36.465.387.337,13.593
Mèncho,,14488341,23.202.519,5.140.852,367.562,0,0,438,220.338,146.786,429.081,6.259.726.260,5.300
FarmerKèin,,51712276,23.194.467,4.439.971,540.549,12.403,62.022,171.564,226.401,68.159,2.610.249,5.974.896.666,2.695
Menchò,,99946496,23.146.242,17.535.283,5.693.288,1.076.267,3.551.683,186.951,809.888,68.499,1.313.761,1.357.955.075,19.275
JimmyRebel1,,103437914,23.111.448,1.359.965,974.640,575.556,276.498,98.367,18.599,5.620,45.701,10.500.001,9.294
CactusB IV,,69609384,23.107.038,4.955.756,1.472.421,252.539,759.847,202.466,257.569,0,96.625,2.553.510.339,8.294
FlightD2,,83948912,23.035.916,357.542,82.344,38.000,0,15.583,28.761,0,1.729,1.611.494.205,5.212
Menchō,,100093751,23.030.135,20.468.761,2.407.120,267.374,333.388,448.615,920.081,437.662,1.465.997,2.071.061.987,12.505
YORHA502,,93006005,23.028.257,3.158.764,784.731,295.960,178.540,94.983,194.240,21.008,505.038,611.830.530,3.097
ᴹᴜ Vishal03,,96884266,23.026.826,8.836.508,1.058.863,76.819,96.814,43.679,837.822,3.729,477.978,169.996.118,11.084
ᴹᴜ Vishal02,,70573941,22.992.067,5.464.153,886.190,234.465,88.834,78.353,476.458,8.080,257.856,236.006.260,10.587
ᴸᴹ KanZaria,,100459343,22.944.002,4.154.503,826.763,146.936,292.392,172.278,145.192,69.965,457.317,9.118.191,3.001
Mini hurk chief,,18965610,22.877.498,10.122.851,1.963.354,615.214,181.241,630.359,361.491,175.049,3.237.919,7.068.401.666,2.914
ᴮᴼXaphan,,100552843,22.870.501,10.237.647,1.513.387,253.235,328.414,293.598,440.702,197.438,1.156.043,118.681.649,22.985
RoyalBankCanada,,54569993,22.860.016,1.079.527,123.451,7.365,10.065,381,105.640,0,20.422,9.110.218.504,3.494
Manhandsmn,,35235253,22.814.834,10.667.608,2.692.595,190.661,1.400.962,586.183,481.296,33.493,1.423.539,302.172.505,9.841
Dipkosha,,100392060,22.813.146,8.187.873,2.793.094,620.476,1.495.916,319.204,335.483,22.015,945.912,92.777.978,7.925
ᴸᴹ Carfran,,100429850,22.788.032,2.733.209,445.198,22.393,76.105,150.340,195.204,1.156,126.469,1.400.000,11.707
Señorita Amph,,9411529,22.717.824,19.496.834,1.182.355,42,18.430,6.514,371.347,786.022,1.532.878,11.885.511.739,7.124
JPv4,,49526260,22.677.298,15.521.505,3.528.757,879.294,851.233,884.635,816.726,96.869,911.976,4.778.699.868,8.501
ᴹᴜChibbot2,,46110798,22.661.980,8.331.091,958.116,134.664,77.707,74.756,557.006,113.983,502.803,8.487.824.454,8.261
Edson Loroña,,100302999,22.646.843,5.382.104,738.418,44.070,240.987,12.144,398.160,43.057,406.771,3.186.400,5.503
Кирокс,,100537619,22.632.260,2.088.832,426.765,31.758,105.567,170.509,118.931,0,141.702,390.000,4.754
tsifarka,,100511009,22.621.436,922.647,179.751,12.073,50.447,59.597,57.173,461,247.157,1.096.886,2.947
ᴹᴅ TGI,,100199872,22.534.850,36.777.715,4.872.819,469.603,967.321,1.043.783,1.726.822,665.290,1.103.168,32.634.077,11.872
Hugh G Wiener,,20224093,22.505.517,498.532,41.706,0,0,3.943,27.250,10.513,187.400,5.657.945.102,8.497
Darkterrorメ,,100252863,22.501.290,47.417.561,7.324.497,812.033,2.107.455,719.891,3.354.168,330.950,1.031.521,18.210.000,23.477
ᴼʂ Tini89,,100535067,22.474.621,12.141.052,1.733.590,91.399,600.605,100.008,831.003,110.575,312.035,15.378.608,8.090
ᴹғBulbasaur,,100174767,22.451.332,16.837.508,4.117.921,1.083.981,1.143.161,847.935,991.423,51.421,236.821,1.701.176.966,17.116
농장주 ProDy,,35452727,22.426.882,15.403.318,1.336.020,43.679,19.602,53.932,923.649,295.158,2.380.657,7.617.161.638,4.804
Fenix3o,,101028183,22.399.986,321.434,111.538,35.768,51.883,4.726,19.161,0,22.687,197.072.523,2.191
UzumakîNarutø,,76365821,22.397.969,36.602.391,8.068.526,2.180.653,1.852.862,1.706.939,2.092.866,235.206,2.375.697,164.543.678,15.018
Riveg200,,107110188,22.397.311,3.163.714,948.823,413.680,172.424,148.510,214.209,0,0,56.000.000,5.238
ᴼʂ Rotake,,100059681,22.388.986,6.132.688,820.092,78.190,206.993,131.376,289.310,114.223,997.096,1.021.000,9.156
Markfarm,,88961331,22.366.882,2.447.379,280.822,23.627,15.739,564,240.892,0,1.242.836,1.509.254.560,3.420
DinossA,,82466218,22.344.940,15.894.882,1.796.039,479.181,114.147,33.768,794.318,374.625,210.670,161.200.000,13.391
Kolia lite,,96932458,22.245.121,5.030.306,949.252,91.500,381.166,86.706,389.475,405,563.644,636.846.263,6.963
SO LAR,,100133990,22.205.170,21.371.529,2.572.658,199.446,388.835,351.625,1.350.757,281.995,1.001.298,32.940.472,10.644
ᴹғ Skykok93,,99891813,22.203.758,31.083.549,18.047.700,10.154.793,5.293.331,1.402.122,1.109.164,88.290,331.675,113.616.437,6.652
ᴹᴜ Diggity,,100555277,22.185.963,28.929.614,2.301.203,39.191,779,20.657,1.597.393,643.183,1.577.608,112.715.394,9.120
Doggo warrior,,100496223,22.173.715,322.981,286.315,218.574,50.345,1.634,14.320,1.442,23.421,336.552.384,6.742
亗TWIN ZERO亗,,92982183,22.147.834,44.982.712,5.070.139,490.020,390.860,667.117,2.900.832,621.310,2.268.724,55.467.600,16.017
chibi Saf,,15962290,22.024.146,10.581.920,1.555.846,143.240,92.941,626.480,600.223,92.962,1.668.482,4.408.731.100,3.551
ᴹᴜSanmath,,100652292,21.976.472,10.431.981,827.069,9.157,18.410,12.570,539.559,247.373,1.114.695,0,9.630
メFerメ,,100535442,21.944.815,24.938.401,5.472.410,876.907,975.306,2.265.412,1.334.494,20.291,305.891,2.432.000,10.600
waginaivana,,100571113,21.930.469,12.827.091,2.655.277,235.905,1.045.724,641.158,652.597,79.893,1.562.144,496.317.996,14.506
Husniddinᴼˢ,,82986853,21.921.967,4.656.052,881.874,110.782,198.482,264.663,298.066,9.881,445.102,901.963.669,4.095
ᴹᴜ jakeryan,,99975209,21.898.078,28.063.221,3.058.261,116.127,216.789,711.737,1.551.269,462.339,654.805,283.049.418,10.462
Dawn ㅅ,,82583690,21.886.711,20.660.224,2.776.252,163.222,630.871,471.197,1.273.819,237.143,726.539,59.475.821,6.542
ᴼʷᴸSpectre,,100561419,21.879.882,4.360.665,493.669,15.673,6.616,66.992,401.143,3.245,34.971,600.000,8.248
ᴹʷ ÂRCHIÔN,,100367743,21.812.035,66.932.829,6.200.855,341.805,454.404,324.125,3.695.126,1.385.395,1.886.955,184.374.899,27.630
Hahahahihih,,100509424,21.807.988,387.395,98.556,5.876,46.595,27.970,18.115,0,87.486,0,2.783
Shiganshina151,,100522637,21.784.045,894.319,254.981,75.847,85.469,38.073,55.592,0,56.962,0,6.372
ᴹʷ Ruuoy,,100522219,21.750.795,166.259.142,19.430.267,4.720.690,836.075,1.006.106,9.772.949,3.094.447,1.859.458,426.874.742,26.898
Albrek Mini,,9133417,21.671.180,2.189.977,221.166,3.797,0,16.757,189.005,11.607,12.182,3.103.898.013,4.258
SungaiTello 2,,101368989,21.652.570,3.322.985,675.308,98.184,257.367,176.086,78.915,64.756,341.610,621.946.957,5.877
ᴸᴹ P4N7H3R,,99969149,21.626.698,8.609.017,1.346.085,328.637,245.716,190.462,433.539,147.731,1.530.466,840.010,10.288
celake12,,100466775,21.597.179,16.119.401,1.599.694,72.736,46.556,29.703,1.312.105,138.594,782.396,118.592.424,5.637
Sofakingcute,,24338615,21.588.115,11.666,31.591,28.620,2.971,0,0,0,0,623.359.500,1.411
ᴹʷ BONDシ,,39695508,21.565.267,28.825.184,6.627.754,993.499,2.607.277,1.454.815,1.385.059,187.104,1.732.273,73.774.234,17.665
M Bear II,,99835757,21.551.177,7.823.106,1.920.296,993.629,91.954,173.103,648.414,13.196,325.905,790.709.500,4.455
Fenix4o,,101004105,21.492.888,98.851,22.285,2.674,11.499,967,7.145,0,13.516,231.485.466,1.912
sʜɪᴍᴏ,,81284402,21.432.783,10.774,21.541,17.949,3.592,0,0,0,0,262.577.366,1.998
Door Belle,,68126784,21.425.779,286.303,30.208,5.214,3.990,0,14.280,6.724,120.366,840.394.712,1.586
Tinúviel7,,100260185,21.420.525,2.170.798,376.262,37.038,146.242,9.819,183.163,0,138.170,693.000,4.901
Macky02,,83805785,21.396.194,230.022,47.056,0,2.216,37.135,7.705,0,0,2.292.646.463,4.100
JPv3,,34166380,21.395.624,127.500,6.375,0,0,0,0,6.375,135.308,9.137.018.797,5.235
乂 ERNAK 乂,,35325790,21.377.147,2.519.570,239.307,21.821,14.296,40.631,92.709,69.850,1.306.775,179.349.533,4.817
