Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
ᴹғ Brojii,,99761139,55.953.247,430.138.372,42.538.833,3.517.068,474.167,1.166.651,32.379.892,5.001.055,901.695,103.500.000,35.293
Pócahontas,,73896511,55.861.916,159.699.851,15.001.840,1.396.845,930.994,1.113.911,7.809.895,3.750.195,1.789.822,484.503.997,47.489
Ivandchiz,,84656159,55.606.857,251.788.772,33.374.356,11.817.691,1.033.315,1.255.121,14.302.646,4.965.583,2.457.409,230.514.985,61.319
亗SG LAKSA亗,,98503709,55.190.143,252.937.897,23.956.160,1.883.307,1.297.604,2.285.417,12.897.228,5.592.604,3.887.319,66.321.593,16.025
Xx Jaimo xX,,40068752,54.939.229,2.236.722.498,214.674.595,14.886.701,10.924.301,8.357.869,143.164.940,37.340.784,12.616.201,21.153.672.010,44.356
ᴼˢLionG,,81567688,54.932.716,150.632.088,27.877.164,16.252.081,175.842,144.157,7.964.832,3.340.252,2.981.345,2.018.420.391,69.653
Oshie Reloaded,,100715761,54.691.631,1.119.727.896,102.085.346,6.147.390,5.375.854,8.934.255,56.054.725,25.573.122,7.557.589,30.733.861.530,26.944
ヅJupiter,,70228829,54.595.004,146.770.920,12.921.643,530.582,494.546,535.083,8.369.326,2.992.106,4.850.650,424.803.740,81.394
云 Apeach,,90111455,54.565.395,519.135.425,55.948.776,6.295.894,6.078.175,4.797.854,28.900.858,9.875.995,4.492.352,2.677.032.908,74.047
Canconnn,,57687814,54.553.795,1.039.323.969,110.941.340,7.569.974,8.859.000,10.394.031,70.385.085,13.733.250,6.380.482,2.266.829.831,70.092
lucasmrts,,13467291,54.044.223,921.433.730,63.569.930,877.868,362.183,606.880,31.635.371,30.087.628,16.927.324,1.285.744.251,92.703
ᴹʷ Fhmyr,,71517154,54.018.873,602.211.680,53.841.806,6.023.828,769.403,925.617,32.669.352,13.453.606,6.386.844,6.800.429.005,123.403
ᴾᴴ Caram3L,,75598457,53.584.148,83.801.117,7.990.532,415.177,574.026,777.975,4.500.895,1.722.459,803.568,351.554.105,10.061
MadHatter83,,34074374,53.128.417,579.773.328,51.079.312,3.116.381,1.692.944,2.055.226,31.675.196,12.539.565,7.962.292,4.044.912.903,40.394
ᴵᴬᴹShake,,82409609,52.832.075,233.122.336,31.552.577,6.780.909,2.977.345,4.604.431,13.640.410,3.549.482,1.947.985,4.384.035.039,43.194
因Athenaᴶⱽ,,80748614,52.657.898,310.535.799,40.437.843,6.700.397,4.831.386,3.658.372,22.005.430,3.242.258,3.861.051,5.402.900.988,72.300
ᴹғDukeSilver,,100505731,52.630.152,232.331.581,26.626.013,4.829.466,2.349.589,2.744.620,11.835.873,4.866.465,1.269.843,2.276.723.166,28.446
